,st_cty_code,county,state,cases
0,1001,Autauga County,AL,0
1,1003,Baldwin County,AL,0
2,1005,Barbour County,AL,0
3,1007,Bibb County,AL,1
4,1009,Blount County,AL,2
5,1011,Bullock County,AL,0
6,1013,Butler County,AL,0
7,1015,Calhoun County,AL,0
8,1017,Chambers County,AL,1
9,1019,Cherokee County,AL,0
10,1021,Chilton County,AL,0
11,1023,Choctaw County,AL,1
12,1025,Clarke County,AL,0
13,1027,Clay County,AL,1
14,1029,Cleburne County,AL,0
15,1031,Coffee County,AL,0
16,1033,Colbert County,AL,1
17,1035,Conecuh County,AL,0
18,1037,Coosa County,AL,0
19,1039,Covington County,AL,1
20,1041,Crenshaw County,AL,0
21,1043,Cullman County,AL,1
22,1045,Dale County,AL,2
23,1047,Dallas County,AL,0
24,1049,DeKalb County,AL,4
25,1051,Elmore County,AL,1
26,1053,Escambia County,AL,0
27,1055,Etowah County,AL,0
28,1057,Fayette County,AL,0
29,1059,Franklin County,AL,0
30,1061,Geneva County,AL,1
31,1063,Greene County,AL,0
32,1065,Hale County,AL,1
33,1067,Henry County,AL,0
34,1069,Houston County,AL,1
35,1071,Jackson County,AL,0
36,1073,Jefferson County,AL,4
37,1075,Lamar County,AL,0
38,1077,Lauderdale County,AL,0
39,1079,Lawrence County,AL,0
40,1081,Lee County,AL,1
41,1083,Limestone County,AL,0
42,1085,Lowndes County,AL,0
43,1087,Macon County,AL,0
44,1089,Madison County,AL,7
45,1091,Marengo County,AL,0
46,1093,Marion County,AL,0
47,1095,Marshall County,AL,0
48,1097,Mobile County,AL,0
49,1099,Monroe County,AL,0
50,1101,Montgomery County,AL,0
51,1103,Morgan County,AL,0
52,1105,Perry County,AL,0
53,1107,Pickens County,AL,0
54,1109,Pike County,AL,0
55,1111,Randolph County,AL,0
56,1113,Russell County,AL,0
57,1115,St. Clair County,AL,2
58,1117,Shelby County,AL,0
59,1119,Sumter County,AL,0
60,1121,Talladega County,AL,0
61,1123,Tallapoosa County,AL,0
62,1125,Tuscaloosa County,AL,3
63,1127,Walker County,AL,0
64,1129,Washington County,AL,0
65,1131,Wilcox County,AL,0
66,1133,Winston County,AL,0
67,1999,Alabama,AL,0
68,2013,Aleutians East Borough,AK,0
69,2016,Aleutians West Census Area,AK,0
70,2020,Anchorage Municipality,AK,3
71,2050,Bethel Census Area,AK,0
72,2060,Bristol Bay Borough,AK,0
73,2068,Denali Borough,AK,1
74,2070,Dillingham Census Area,AK,0
75,2090,Fairbanks North Star Borough,AK,1
76,2100,Haines Borough,AK,0
77,2105,Hoonah-Angoon Census Area,AK,0
78,2110,Juneau City and Borough,AK,1
79,2122,Kenai Peninsula Borough,AK,4
80,2130,Ketchikan Gateway Borough,AK,0
81,2150,Kodiak Island Borough,AK,0
82,2158,Kusilvak Census Area,AK,0
83,2164,Lake and Peninsula Borough,AK,0
84,2170,Matanuska-Susitna Borough,AK,1
85,2180,Nome Census Area,AK,0
86,2185,North Slope Borough,AK,0
87,2188,Northwest Arctic Borough,AK,0
88,2195,Petersburg Borough,AK,0
89,2198,Prince of Wales-Hyder Census Area,AK,0
90,2220,Sitka City and Borough,AK,0
91,2230,Skagway Municipality,AK,0
92,2240,Southeast Fairbanks Census Area,AK,0
93,2261,Valdez-Cordova Census Area,AK,0
94,2275,Wrangell City and Borough,AK,0
95,2282,Yakutat City and Borough,AK,0
96,2290,Yukon-Koyukuk Census Area,AK,0
97,2999,Alaska,AK,0
98,4001,Apache County,AZ,0
99,4003,Cochise County,AZ,0
100,4005,Coconino County,AZ,2
101,4007,Gila County,AZ,0
102,4009,Graham County,AZ,0
103,4011,Greenlee County,AZ,0
104,4012,La Paz County,AZ,0
105,4013,Maricopa County,AZ,1
106,4015,Mohave County,AZ,1
107,4017,Navajo County,AZ,0
108,4019,Pima County,AZ,1
109,4021,Pinal County,AZ,0
110,4023,Santa Cruz County,AZ,0
111,4025,Yavapai County,AZ,1
112,4027,Yuma County,AZ,1
113,4999,Arizona,AZ,0
114,5001,Arkansas County,AR,0
115,5003,Ashley County,AR,0
116,5005,Baxter County,AR,0
117,5007,Benton County,AR,0
118,5009,Boone County,AR,0
119,5011,Bradley County,AR,0
120,5013,Calhoun County,AR,0
121,5015,Carroll County,AR,0
122,5017,Chicot County,AR,0
123,5019,Clark County,AR,0
124,5021,Clay County,AR,0
125,5023,Cleburne County,AR,0
126,5025,Cleveland County,AR,0
127,5027,Columbia County,AR,0
128,5029,Conway County,AR,0
129,5031,Craighead County,AR,0
130,5033,Crawford County,AR,0
131,5035,Crittenden County,AR,0
132,5037,Cross County,AR,0
133,5039,Dallas County,AR,1
134,5041,Desha County,AR,0
135,5043,Drew County,AR,0
136,5045,Faulkner County,AR,0
137,5047,Franklin County,AR,0
138,5049,Fulton County,AR,0
139,5051,Garland County,AR,1
140,5053,Grant County,AR,0
141,5055,Greene County,AR,0
142,5057,Hempstead County,AR,0
143,5059,Hot Spring County,AR,0
144,5061,Howard County,AR,0
145,5063,Independence County,AR,1
146,5065,Izard County,AR,0
147,5067,Jackson County,AR,0
148,5069,Jefferson County,AR,0
149,5071,Johnson County,AR,0
150,5073,Lafayette County,AR,0
151,5075,Lawrence County,AR,0
152,5077,Lee County,AR,0
153,5079,Lincoln County,AR,0
154,5081,Little River County,AR,0
155,5083,Logan County,AR,0
156,5085,Lonoke County,AR,0
157,5087,Madison County,AR,0
158,5089,Marion County,AR,0
159,5091,Miller County,AR,0
160,5093,Mississippi County,AR,0
161,5095,Monroe County,AR,0
162,5097,Montgomery County,AR,0
163,5099,Nevada County,AR,0
164,5101,Newton County,AR,0
165,5103,Ouachita County,AR,0
166,5105,Perry County,AR,0
167,5107,Phillips County,AR,0
168,5109,Pike County,AR,0
169,5111,Poinsett County,AR,0
170,5113,Polk County,AR,0
171,5115,Pope County,AR,1
172,5117,Prairie County,AR,0
173,5119,Pulaski County,AR,0
174,5121,Randolph County,AR,0
175,5123,St. Francis County,AR,0
176,5125,Saline County,AR,0
177,5127,Scott County,AR,0
178,5129,Searcy County,AR,0
179,5131,Sebastian County,AR,0
180,5133,Sevier County,AR,0
181,5135,Sharp County,AR,0
182,5137,Stone County,AR,0
183,5139,Union County,AR,0
184,5141,Van Buren County,AR,0
185,5143,Washington County,AR,0
186,5145,White County,AR,0
187,5147,Woodruff County,AR,0
188,5149,Yell County,AR,0
189,5999,Arkansas,AR,0
190,6001,Alameda County,CA,2
191,6003,Alpine County,CA,0
192,6005,Amador County,CA,0
193,6007,Butte County,CA,0
194,6009,Calaveras County,CA,0
195,6011,Colusa County,CA,0
196,6013,Contra Costa County,CA,9
197,6015,Del Norte County,CA,0
198,6017,El Dorado County,CA,0
199,6019,Fresno County,CA,1
200,6021,Glenn County,CA,0
201,6023,Humboldt County,CA,1
202,6025,Imperial County,CA,0
203,6027,Inyo County,CA,0
204,6029,Kern County,CA,0
205,6031,Kings County,CA,0
206,6033,Lake County,CA,1
207,6035,Lassen County,CA,0
208,6037,Los Angeles County,CA,4
209,6039,Madera County,CA,0
210,6041,Marin County,CA,2
211,6043,Mariposa County,CA,0
212,6045,Mendocino County,CA,0
213,6047,Merced County,CA,0
214,6049,Modoc County,CA,0
215,6051,Mono County,CA,0
216,6053,Monterey County,CA,0
217,6055,Napa County,CA,2
218,6057,Nevada County,CA,1
219,6059,Orange County,CA,0
220,6061,Placer County,CA,0
221,6063,Plumas County,CA,0
222,6065,Riverside County,CA,5
223,6067,Sacramento County,CA,3
224,6069,San Benito County,CA,0
225,6071,San Bernardino County,CA,1
226,6073,San Diego County,CA,7
227,6075,San Francisco County,CA,16
228,6077,San Joaquin County,CA,1
229,6079,San Luis Obispo County,CA,2
230,6081,San Mateo County,CA,0
231,6083,Santa Barbara County,CA,5
232,6085,Santa Clara County,CA,7
233,6087,Santa Cruz County,CA,9
234,6089,Shasta County,CA,0
235,6091,Sierra County,CA,1
236,6093,Siskiyou County,CA,1
237,6095,Solano County,CA,2
238,6097,Sonoma County,CA,11
239,6099,Stanislaus County,CA,6
