,fips_code,state,county,county_status
0,1001,AL,Autauga County,Established
1,1003,AL,Baldwin County,Established
2,1005,AL,Barbour County,Established
3,1007,AL,Bibb County,Established
4,1009,AL,Blount County,No records
5,1011,AL,Bullock County,Established
6,1013,AL,Butler County,Established
7,1015,AL,Calhoun County,No records
8,1017,AL,Chambers County,Established
9,1019,AL,Cherokee County,No records
10,1021,AL,Chilton County,Reported
11,1023,AL,Choctaw County,Established
12,1025,AL,Clarke County,Established
13,1027,AL,Clay County,Reported
14,1029,AL,Cleburne County,Reported
15,1031,AL,Coffee County,Reported
16,1033,AL,Colbert County,Established
17,1035,AL,Conecuh County,Established
18,1037,AL,Coosa County,Established
19,1039,AL,Covington County,Established
20,1041,AL,Crenshaw County,Reported
21,1043,AL,Cullman County,No records
22,1045,AL,Dale County,Reported
23,1047,AL,Dallas County,Established
24,1049,AL,DeKalb County,No records
25,1051,AL,Elmore County,Established
26,1053,AL,Escambia County,Established
27,1055,AL,Etowah County,No records
28,1057,AL,Fayette County,Established
29,1059,AL,Franklin County,Established
30,1061,AL,Geneva County,Reported
31,1063,AL,Greene County,No records
32,1065,AL,Hale County,Established
33,1067,AL,Henry County,Established
34,1069,AL,Houston County,Reported
35,1071,AL,Jackson County,Established
36,1073,AL,Jefferson County,Reported
37,1075,AL,Lamar County,No records
38,1077,AL,Lauderdale County,No records
39,1079,AL,Lawrence County,Reported
40,1081,AL,Lee County,Established
41,1083,AL,Limestone County,No records
42,1085,AL,Lowndes County,Reported
43,1087,AL,Macon County,No records
44,1089,AL,Madison County,Reported
45,1091,AL,Marengo County,Reported
46,1093,AL,Marion County,No records
47,1095,AL,Marshall County,No records
48,1097,AL,Mobile County,Established
49,1099,AL,Monroe County,Established
50,1101,AL,Montgomery County,Reported
51,1103,AL,Morgan County,No records
52,1105,AL,Perry County,No records
53,1107,AL,Pickens County,Established
54,1109,AL,Pike County,No records
55,1111,AL,Randolph County,Reported
56,1113,AL,Russell County,Established
57,1115,AL,St. Clair County,No records
58,1117,AL,Shelby County,No records
59,1119,AL,Sumter County,Reported
60,1121,AL,Talladega County,Reported
61,1123,AL,Tallapoosa County,Established
62,1125,AL,Tuscaloosa County,Reported
63,1127,AL,Walker County,No records
64,1129,AL,Washington County,Reported
65,1131,AL,Wilcox County,Reported
66,1133,AL,Winston County,Established
67,4001,AZ,Apache County,No records
68,4003,AZ,Cochise County,No records
69,4005,AZ,Coconino County,No records
70,4007,AZ,Gila County,No records
71,4009,AZ,Graham County,No records
72,4011,AZ,Greenlee County,No records
73,4012,AZ,La Paz County,No records
74,4013,AZ,Maricopa County,No records
75,4015,AZ,Mohave County,No records
76,4017,AZ,Navajo County,No records
77,4019,AZ,Pima County,No records
78,4021,AZ,Pinal County,No records
79,4023,AZ,Santa Cruz County,No records
80,4025,AZ,Yavapai County,No records
81,4027,AZ,Yuma County,No records
82,5001,AR,Arkansas County,No records
83,5003,AR,Ashley County,Established
84,5005,AR,Baxter County,Established
85,5007,AR,Benton County,Established
86,5009,AR,Boone County,Established
87,5011,AR,Bradley County,No records
88,5013,AR,Calhoun County,Reported
89,5015,AR,Carroll County,Reported
90,5017,AR,Chicot County,No records
91,5019,AR,Clark County,Established
92,5021,AR,Clay County,No records
93,5023,AR,Cleburne County,Established
94,5025,AR,Cleveland County,No records
95,5027,AR,Columbia County,Reported
96,5029,AR,Conway County,Reported
97,5031,AR,Craighead County,No records
98,5033,AR,Crawford County,Established
99,5035,AR,Crittenden County,No records
100,5037,AR,Cross County,No records
101,5039,AR,Dallas County,Reported
102,5041,AR,Desha County,No records
103,5043,AR,Drew County,Reported
104,5045,AR,Faulkner County,Established
105,5047,AR,Franklin County,Established
106,5049,AR,Fulton County,Established
107,5051,AR,Garland County,Established
108,5053,AR,Grant County,Established
109,5055,AR,Greene County,No records
110,5057,AR,Hempstead County,Established
111,5059,AR,Hot Spring County,No records
112,5061,AR,Howard County,Reported
113,5063,AR,Independence County,No records
114,5065,AR,Izard County,Reported
115,5067,AR,Jackson County,No records
116,5069,AR,Jefferson County,Reported
117,5071,AR,Johnson County,Reported
118,5073,AR,Lafayette County,Reported
119,5075,AR,Lawrence County,Established
120,5077,AR,Lee County,No records
121,5079,AR,Lincoln County,Reported
122,5081,AR,Little River County,No records
123,5083,AR,Logan County,Reported
124,5085,AR,Lonoke County,No records
125,5087,AR,Madison County,Established
126,5089,AR,Marion County,Established
127,5091,AR,Miller County,No records
128,5093,AR,Mississippi County,No records
129,5095,AR,Monroe County,No records
130,5097,AR,Montgomery County,Reported
131,5099,AR,Nevada County,Reported
132,5101,AR,Newton County,Reported
133,5103,AR,Ouachita County,Reported
134,5105,AR,Perry County,Reported
135,5107,AR,Phillips County,No records
136,5109,AR,Pike County,Reported
137,5111,AR,Poinsett County,Established
138,5113,AR,Polk County,Established
139,5115,AR,Pope County,Established
140,5117,AR,Prairie County,Established
141,5119,AR,Pulaski County,Reported
142,5121,AR,Randolph County,Reported
143,5123,AR,St. Francis County,No records
144,5125,AR,Saline County,Established
145,5127,AR,Scott County,Reported
146,5129,AR,Searcy County,Established
147,5131,AR,Sebastian County,Established
148,5133,AR,Sevier County,Established
149,5135,AR,Sharp County,Reported
150,5137,AR,Stone County,Established
151,5139,AR,Union County,Established
152,5141,AR,Van Buren County,Reported
153,5143,AR,Washington County,Established
154,5145,AR,White County,No records
155,5147,AR,Woodruff County,No records
156,5149,AR,Yell County,Reported
157,6001,CA,Alameda County,No records
158,6003,CA,Alpine County,No records
159,6005,CA,Amador County,No records
160,6007,CA,Butte County,No records
161,6009,CA,Calaveras County,No records
162,6011,CA,Colusa County,No records
163,6013,CA,Contra Costa County,No records
164,6015,CA,Del Norte County,No records
165,6017,CA,El Dorado County,No records
166,6019,CA,Fresno County,No records
167,6021,CA,Glenn County,No records
168,6023,CA,Humboldt County,No records
169,6025,CA,Imperial County,No records
170,6027,CA,Inyo County,No records
171,6029,CA,Kern County,No records
172,6031,CA,Kings County,No records
173,6033,CA,Lake County,No records
174,6035,CA,Lassen County,No records
175,6037,CA,Los Angeles County,No records
176,6039,CA,Madera County,No records
177,6041,CA,Marin County,No records
178,6043,CA,Mariposa County,No records
179,6045,CA,Mendocino County,No records
180,6047,CA,Merced County,No records
181,6049,CA,Modoc County,No records
182,6051,CA,Mono County,No records
183,6053,CA,Monterey County,No records
184,6055,CA,Napa County,No records
185,6057,CA,Nevada County,No records
186,6059,CA,Orange County,No records
187,6061,CA,Placer County,No records
188,6063,CA,Plumas County,No records
189,6065,CA,Riverside County,No records
190,6067,CA,Sacramento County,No records
191,6069,CA,San Benito County,No records
192,6071,CA,San Bernardino County,No records
193,6073,CA,San Diego County,No records
194,6075,CA,San Francisco County,No records
195,6077,CA,San Joaquin County,No records
196,6079,CA,San Luis Obispo County,No records
197,6081,CA,San Mateo County,No records
198,6083,CA,Santa Barbara County,No records
199,6085,CA,Santa Clara County,No records
200,6087,CA,Santa Cruz County,No records
201,6089,CA,Shasta County,No records
202,6091,CA,Sierra County,No records
203,6093,CA,Siskiyou County,No records
204,6095,CA,Solano County,No records
205,6097,CA,Sonoma County,No records
206,6099,CA,Stanislaus County,No records
207,6101,CA,Sutter County,No records
208,6103,CA,Tehama County,No records
209,6105,CA,Trinity County,No records
210,6107,CA,Tulare County,No records
211,6109,CA,Tuolumne County,No records
212,6111,CA,Ventura County,No records
213,6113,CA,Yolo County,No records
214,6115,CA,Yuba County,No records
215,8001,CO,Adams County,No records
216,8003,CO,Alamosa County,No records
217,8005,CO,Arapahoe County,No records
218,8007,CO,Archuleta County,No records
219,8009,CO,Baca County,No records
220,8011,CO,Bent County,No records
221,8013,CO,Boulder County,No records
222,8014,CO,Broomfield County,No records
223,8015,CO,Chaffee County,No records
224,8017,CO,Cheyenne County,No records
225,8019,CO,Clear Creek County,No records
226,8021,CO,Conejos County,No records
227,8023,CO,Costilla County,No records
228,8025,CO,Crowley County,No records
229,8027,CO,Custer County,No records
230,8029,CO,Delta County,No records
231,8031,CO,Denver County,No records
232,8033,CO,Dolores County,No records
233,8035,CO,Douglas County,No records
234,8037,CO,Eagle County,No records
235,8039,CO,Elbert County,No records
236,8041,CO,El Paso County,No records
237,8043,CO,Fremont County,No records
238,8045,CO,Garfield County,No records
239,8047,CO,Gilpin County,No records
240,8049,CO,Grand County,No records
241,8051,CO,Gunnison County,No records
242,8053,CO,Hinsdale County,No records
243,8055,CO,Huerfano County,No records
244,8057,CO,Jackson County,No records
245,8059,CO,Jefferson County,No records
246,8061,CO,Kiowa County,No records
247,8063,CO,Kit Carson County,No records
248,8065,CO,Lake County,No records
249,8067,CO,La Plata County,No records
250,8069,CO,Larimer County,No records
251,8071,CO,Las Animas County,No records
252,8073,CO,Lincoln County,No records
253,8075,CO,Logan County,No records
254,8077,CO,Mesa County,No records
255,8079,CO,Mineral County,No records
256,8081,CO,Moffat County,No records
257,8083,CO,Montezuma County,No records
258,8085,CO,Montrose County,No records
259,8087,CO,Morgan County,No records
260,8089,CO,Otero County,No records
261,8091,CO,Ouray County,No records
262,8093,CO,Park County,No records
263,8095,CO,Phillips County,No records
264,8097,CO,Pitkin County,No records
265,8099,CO,Prowers County,No records
266,8101,CO,Pueblo County,No records
267,8103,CO,Rio Blanco County,No records
268,8105,CO,Rio Grande County,No records
269,8107,CO,Routt County,No records
270,8109,CO,Saguache County,No records
271,8111,CO,San Juan County,No records
272,8113,CO,San Miguel County,No records
273,8115,CO,Sedgwick County,No records
274,8117,CO,Summit County,No records
275,8119,CO,Teller County,No records
276,8121,CO,Washington County,No records
277,8123,CO,Weld County,No records
278,8125,CO,Yuma County,No records
279,9001,CT,Fairfield County,Established
280,9003,CT,Hartford County,Established
281,9005,CT,Litchfield County,Established
282,9007,CT,Middlesex County,Established
283,9009,CT,New Haven County,Established
284,9011,CT,New London County,Established
285,9013,CT,Tolland County,Established
286,9015,CT,Windham County,Established
287,10001,DE,Kent County,Established
288,10003,DE,New Castle County,Established
289,10005,DE,Sussex County,Established
290,11001,DC,District of Columbia,Established
291,12001,FL,Alachua County,Established
292,12003,FL,Baker County,Established
293,12005,FL,Bay County,Established
294,12007,FL,Bradford County,Reported
295,12009,FL,Brevard County,Established
296,12011,FL,Broward County,Reported
297,12013,FL,Calhoun County,Established
298,12015,FL,Charlotte County,Reported
299,12017,FL,Citrus County,Reported
300,12019,FL,Clay County,Established
301,12021,FL,Collier County,Established
302,12023,FL,Columbia County,Established
303,12027,FL,DeSoto County,Established
304,12029,FL,Dixie County,Established
305,12031,FL,Duval County,Reported
306,12033,FL,Escambia County,Established
307,12035,FL,Flagler County,Established
308,12037,FL,Franklin County,Established
309,12039,FL,Gadsden County,Established
310,12041,FL,Gilchrist County,Reported
311,12043,FL,Glades County,Established
312,12045,FL,Gulf County,Established
313,12047,FL,Hamilton County,Established
314,12049,FL,Hardee County,Reported
315,12051,FL,Hendry County,Established
316,12053,FL,Hernando County,Established
317,12055,FL,Highlands County,Established
318,12057,FL,Hillsborough County,Established
319,12059,FL,Holmes County,Reported
320,12061,FL,Indian River County,Established
321,12063,FL,Jackson County,Established
322,12065,FL,Jefferson County,Established
323,12067,FL,Lafayette County,Established
324,12069,FL,Lake County,Established
325,12071,FL,Lee County,Established
326,12073,FL,Leon County,Established
327,12075,FL,Levy County,Established
328,12077,FL,Liberty County,Established
329,12079,FL,Madison County,Established
330,12081,FL,Manatee County,Reported
