DMZ,county
1,Sussex County
2,Sussex County
3,Passaic County
4,Sussex County
5,Warren County
6,Morris County
7,Warren County
8,Hunterdon County
9,Somerset County
10,Hunterdon County
11,Hunterdon County
12,Somerset County
13,Morris County
14,Mercer County
15,Middlesex County
16,Monmouth County
17,Monmouth County
18,Ocean County
19,Burlington County
21,Ocean County
22,Ocean County
23,Burlington County
24,Burlington County
25,Gloucester County
26,Atlantic County
27,Salem County
28,Salem County
29,Cumberland County
30,Cumberland County
31,Cumberland County
34,Cape May County
35,Gloucester County
36,Bergen County
37,Ocean County
38,Morris County
39,Monmouth County
41,Mercer County
42,Atlantic County
43,Cumberland County
45,Atlantic County
46,Atlantic County
47,Atlantic County
48,Burlington County
49,Camden County
50,Monmouth County
51,Ocean County
53,Ocean County
54,Morris County
55,Gloucester County
56,Atlantic County
57,Atlantic County
58,Ocean County
70,Ocean County
61,Atlantic County
63,Salem County
64,Monmouth County
65,Burlington County
66,Atlantic County
67,Sussex County
68,Burlington County
