,dmz,county,total_harvest
0,1,Sussex County,443
1,2,Sussex County,1596
2,3,Passaic County,360
3,4,Sussex County,393
4,5,Warren County,2444
5,6,Morris County,793
6,7,Warren County,1731
7,8,Hunterdon County,3088
8,9,Somerset County,583
9,10,Hunterdon County,2272
10,11,Hunterdon County,1520
11,12,Somerset County,3745
12,13,Morris County,1047
13,14,Mercer County,2435
14,15,Middlesex County,1722
15,16,Monmouth County,1324
16,17,Monmouth County,1824
17,18,Ocean County,446
18,19,Burlington County,1981
19,21,Ocean County,490
20,22,Ocean County,169
21,23,Burlington County,644
22,24,Burlington County,263
23,25,Gloucester County,1697
24,26,Atlantic County,1194
25,27,Salem County,788
26,28,Salem County,1248
27,29,Cumberland County,809
28,30,Cumberland County,357
29,31,Cumberland County,424
30,34,Cape May County,603
31,35,Gloucester County,1292
32,36,Bergen County,1028
33,37,Ocean County,276
34,38,Morris County,44
35,39,Monmouth County,257
36,41,Mercer County,955
37,42,Atlantic County,381
38,43,Cumberland County,252
39,45,Atlantic County,436
40,46,Atlantic County,361
41,47,Atlantic County,466
42,48,Burlington County,1473
43,49,Camden County,786
44,50,Monmouth County,2404
45,51,Ocean County,1004
46,53,Ocean County,43
47,54,Morris County,47
48,55,Gloucester County,86
49,56,Atlantic County,14
50,57,Atlantic County,15
51,58,Ocean County,17
52,61,Atlantic County,21
53,63,Salem County,173
54,64,Monmouth County,65
55,65,Burlington County,276
56,66,Atlantic County,74
57,67,Sussex County,107
58,68,Burlington County,69
59,70,Ocean County,6
