,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1970,Atlantic,25.1,33.2,37.6,49.2,61.4,68.6,73.4,74.2,69.4,57.6,46.8,35.8
1,1971,Atlantic,28.4,35,39.3,48.2,57.6,70,73.1,71.7,68.3,61.3,44.6,41.4
2,1972,Atlantic,34.4,32.4,39.4,47.5,59.5,66.2,74.7,72.5,67,51.3,43.4,40.9
3,1973,Atlantic,34.6,33.1,46.6,51.6,58.3,71.8,74.9,75.2,67.7,57.3,47,38.6
4,1974,Atlantic,37.3,32,43.3,53.4,60.1,67.4,74.6,73.7,65.9,51.9,46,38.4
5,1975,Atlantic,36.7,35.6,39.8,46,63.1,69.7,74,74.4,63.9,59.2,49.8,36.6
6,1976,Atlantic,29.4,40.4,44.8,53.3,59.6,71.3,73,72,65.3,51.4,39.8,30.9
7,1977,Atlantic,21.4,33.7,46.4,53.2,62.6,67.6,75.6,74.9,69,54.2,48.2,34.8
8,1978,Atlantic,29.3,24.2,38.3,49.7,57.6,68.6,71.8,75.6,64.7,53.8,47.3,37.7
9,1979,Atlantic,32.1,22.9,44.7,50.1,62.1,66.3,73.6,72.9,66.4,54.4,49.4,38.4
10,1980,Atlantic,32.1,29.7,39.4,52.3,63,67.5,75.4,76,69.5,53.6,42.7,33
11,1981,Atlantic,25.8,37.3,39.8,53.8,60.7,70.8,76.1,71.6,66.1,52.6,44.8,34.4
12,1982,Atlantic,24.7,34.7,41.1,48.4,61.9,67.2,74.4,70.4,64.7,54.7,47.8,41
13,1983,Atlantic,33.3,34.2,43.6,50.4,59.4,69.7,76.8,75,67.6,55.7,46.3,33.6
14,1984,Atlantic,27.3,39.1,36.4,49.2,60,72.2,73.4,74.8,64.2,60.4,43.9,42.8
15,1985,Atlantic,26.9,34.9,44,54.1,63.1,68.1,74.8,72.5,67.6,57.7,51.4,32.7
16,1986,Atlantic,32.3,31.4,42.8,50.2,63.1,70.3,75.8,71.7,66,56.9,44.9,37.9
