sex,age_group,reported_cases
Male,0,522
Male,5,1985
Male,10,2365
Male,15,2023
Male,20,1375
Male,25,1025
Male,30,996
Male,35,1218
Male,40,1540
Male,45,1943
Male,50,2191
Male,55,2294
Male,60,2024
Male,65,1645
Male,70,1233
Male,75,776
Male,80,535
Male,85,265
Male,90+,84
Female,0,459
Female,5,1426
Female,10,1336
Female,15,1390
Female,20,1160
Female,25,1012
Female,30,1052
Female,35,1263
Female,40,1450
Female,45,1809
Female,50,2100
Female,55,1902
Female,60,1716
Female,65,1398
Female,70,1094
Female,75,789
Female,80,555
Female,85,269
Female,90+,109
