year,county,cases_per_100k,reported_cases
2007,Atlantic,58.8,160
2007,Bergen,17.6,157
2007,Burlington,39.1,175
2007,Camden,0.6,3
2007,Cape May,38.9,38
2007,Cumberland,106.2,164
2007,Essex,11.7,91
2007,Gloucester,2.5,7
2007,Hudson,2.6,16
2007,Hunterdon,199.1,256
2007,Mercer,56.7,206
2007,Middlesex,9.2,73
2007,Monmouth,44.7,280
2007,Morris,67.6,330
2007,Ocean,36.3,205
2007,Passaic,18.5,91
2007,Salem,85.0,56
2007,Somerset,47.0,149
2007,Sussex,235.1,354
2007,Union,10.7,56
2007,Warren,244.6,267
2008,Atlantic,45.1,123
2008,Bergen,19.4,174
2008,Burlington,62.2,278
2008,Camden,0.4,2
2008,Cape May,36.9,36
2008,Cumberland,62.9,98
2008,Essex,15.8,123
2008,Gloucester,35.7,102
2008,Hudson,3.1,19
2008,Hunterdon,295.8,380
2008,Mercer,64.8,236
2008,Middlesex,6.8,54
2008,Monmouth,41.4,260
2008,Morris,83.9,411
2008,Ocean,26.9,153
2008,Passaic,31.7,157
2008,Salem,68.2,45
2008,Somerset,48.3,154
2008,Sussex,235.8,354
2008,Union,13.1,69
2008,Warren,235.2,257
2009,Atlantic,50.0,137
2009,Bergen,31.3,282
2009,Burlington,91.0,407
2009,Camden,1.2,6
2009,Cape May,41.1,40
2009,Cumberland,124.6,195
2009,Essex,26.7,209
2009,Gloucester,52.2,150
2009,Hudson,9.4,59
2009,Hunterdon,345.9,444
2009,Mercer,69.2,253
2009,Middlesex,22.7,183
2009,Monmouth,65.1,409
2009,Morris,130.6,641
2009,Ocean,33.0,189
2009,Passaic,50.7,253
2009,Salem,68.0,45
2009,Somerset,79.6,256
2009,Sussex,290.3,434
2009,Union,16.5,88
2009,Warren,268.6,292
2010,Atlantic,45.1,124
2010,Bergen,18.3,166
2010,Burlington,54.8,246
2010,Camden,1.8,9
2010,Cape May,27.8,27
2010,Cumberland,61.9,97
2010,Essex,18.6,146
2010,Gloucester,38.8,112
2010,Hudson,6.3,40
2010,Hunterdon,253.7,323
2010,Mercer,43.0,158
2010,Middlesex,16.5,134
2010,Monmouth,53.5,337
2010,Morris,97.2,479
2010,Ocean,43.1,249
2010,Passaic,35.3,177
2010,Salem,45.5,30
2010,Somerset,62.9,204
2010,Sussex,268.1,399
2010,Union,12.5,67
2010,Warren,173.1,188
2011,Atlantic,44.8,123
2011,Bergen,24.2,221
2011,Burlington,51.8,233
2011,Camden,17.4,89
2011,Cape May,44.6,43
2011,Cumberland,53.5,84
2011,Essex,18.8,148
2011,Gloucester,46.3,134
2011,Hudson,4.3,28
2011,Hunterdon,345.6,440
2011,Mercer,59.1,217
2011,Middlesex,27.1,221
2011,Monmouth,56.7,357
2011,Morris,96.6,478
2011,Ocean,38.4,222
2011,Passaic,34.4,173
2011,Salem,98.7,65
2011,Somerset,52.4,171
2011,Sussex,298.4,442
2011,Union,16.5,89
2011,Warren,262.6,284
2012,Atlantic,35.3,97
2012,Bergen,20.0,183
2012,Burlington,57.7,260
2012,Camden,17.2,88
2012,Cape May,42.6,41
2012,Cumberland,56.1,88
2012,Essex,15.4,121
2012,Gloucester,48.0,139
2012,Hudson,4.0,26
2012,Hunterdon,163.5,207
2012,Mercer,38.5,142
2012,Middlesex,19.4,159
2012,Monmouth,53.7,337
2012,Morris,80.9,401
2012,Ocean,35.2,204
2012,Passaic,34.2,172
2012,Salem,81.0,53
2012,Somerset,76.7,251
2012,Sussex,228.0,335
2012,Union,14.0,76
2012,Warren,182.2,196
2013,Atlantic,24.4,67
2013,Bergen,26.2,241
2013,Burlington,47.0,211
2013,Camden,25.3,129
2013,Cape May,27.2,26
2013,Cumberland,38.4,60
2013,Essex,16.6,131
2013,Gloucester,34.9,101
2013,Hudson,7.5,49
2013,Hunterdon,178.0,225
2013,Mercer,38.2,141
2013,Middlesex,19.5,160
2013,Monmouth,59.3,372
2013,Morris,112.5,558
2013,Ocean,36.1,210
2013,Passaic,35.7,180
2013,Salem,80.3,52
2013,Somerset,65.3,215
2013,Sussex,238.3,347
2013,Union,14.3,78
2013,Warren,199.2,213
2014,Atlantic,37.0,101
2014,Bergen,22.9,212
2014,Burlington,43.7,196
2014,Camden,22.2,113
2014,Cape May,12.6,12
2014,Cumberland,38.4,60
2014,Essex,14.4,114
2014,Gloucester,42.7,124
2014,Hudson,6.7,44
2014,Hunterdon,70.7,89
2014,Mercer,38.8,143
2014,Middlesex,26.7,220
2014,Monmouth,70.2,439
2014,Morris,82.6,409
2014,Ocean,39.7,232
2014,Passaic,37.6,190
2014,Salem,29.5,19
2014,Somerset,43.7,144
2014,Sussex,178.5,258
2014,Union,10.8,59
2014,Warren,100.9,108
2015,Atlantic,42.1,114
2015,Bergen,29.7,275
2015,Burlington,57.7,258
2015,Camden,27.2,138
2015,Cape May,28.7,27
2015,Cumberland,55.5,86
2015,Essex,20.9,165
2015,Gloucester,44.0,128
2015,Hudson,8.1,54
2015,Hunterdon,364.4,457
2015,Mercer,67.6,249
2015,Middlesex,34.9,288
2015,Monmouth,84.9,530
2015,Morris,115.7,572
2015,Ocean,49.4,290
2015,Passaic,48.4,244
2015,Salem,58.1,37
2015,Somerset,78.3,258
2015,Sussex,216.1,309
2015,Union,19.4,107
2015,Warren,252.0,269
